,회사,순위,제목,가수
0,Genie,1,Ditto,NewJeans
1,Genie,2,OMG,NewJeans
2,Genie,3,Hype boy,NewJeans
3,Genie,4,사건의 지평선,윤하 (YOUNHA)
4,Genie,5,ANTIFRAGILE,LE SSERAFIM (르세라핌)
5,Genie,6,Attention,NewJeans
6,Genie,7,After LIKE,IVE (아이브)
7,Genie,8,VIBE (Feat. Jimin of BTS),태양
8,Genie,9,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지
9,Genie,10,Nxde,(여자)아이들
10,Genie,11,LOVE DIVE,IVE (아이브)
11,Genie,12,사랑은 늘 도망가,임영웅
12,Genie,13,새삥 (Prod. by ZICO) (Feat. 호미들),지코 (ZICO)
13,Genie,14,Candy,NCT DREAM
14,Genie,15,너의 모든 순간,성시경
15,Genie,16,우리들의 블루스,임영웅
16,Genie,17,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
17,Genie,18,다시 만날 수 있을까,임영웅
18,Genie,19,Monologue,테이 (Tei)
19,Genie,20,Cookie,NewJeans
20,Genie,21,London Boy,임영웅
21,Genie,22,Shut Down,BLACKPINK
22,Genie,23,이제 나만 믿어요,임영웅
23,Genie,24,That's Hilarious,Charlie Puth
24,Genie,25,사랑인가 봐,멜로망스 (MeloMance)
25,Genie,26,TOMBOY,(여자)아이들
26,Genie,27,Pink Venom,BLACKPINK
27,Genie,28,Rush Hour (Feat. j-hope of BTS),Crush
28,Genie,29,Polaroid,임영웅
29,Genie,30,I Don't Think That I Like Her,Charlie Puth
30,Genie,31,마이웨이 (MY WAY) (Prod. by R.Tee),저스디스 (JUSTHIS) & R.Tee & 던말릭 (DON MALIK) & 허성현 (Huh) & KHAN & 맥대디 (Mckdaddy) & Los
31,Genie,32,무지개,임영웅
32,Genie,33,보고싶었어,WSG워너비 (4FIRE)
33,Genie,34,해요 (2022),#안녕
34,Genie,35,Dreamers (Music from the FIFA World Cup Qatar 2022 Official Soundtrack) (Feat. FIFA Sound),정국 & 방탄소년단
35,Genie,36,아버지,임영웅
36,Genie,37,취중고백,김민석 (멜로망스)
37,Genie,38,다정히 내 이름을 부르면,경서예지 & 전건호
38,Genie,39,내가 아니라도,주호
39,Genie,40,오르트구름,윤하 (YOUNHA)
40,Genie,41,그라데이션,10CM
41,Genie,42,A bientot,임영웅
42,Genie,43,Say I Love You,우디 (Woody)
43,Genie,44,나의 X에게,경서
44,Genie,45,사랑해 진짜,임영웅
45,Genie,46,ELEVEN,IVE (아이브)
46,Genie,47,손이 참 곱던 그대,임영웅
47,Genie,48,연애편지,임영웅
48,Genie,49,자격지심 (Feat. ZICO),BE'O (비오)
49,Genie,50,The Drum,Alan Walker
