,회사,순위,곡 제목,가수
0,melon,1,Ditto,NewJeans
1,melon,2,OMG,NewJeans
2,melon,3,Hype boy,NewJeans
3,melon,4,사건의 지평선,윤하 (YOUNHA)
4,melon,5,VIBE (feat. Jimin of BTS),태양
5,melon,6,ANTIFRAGILE,LE SSERAFIM (르세라핌)
6,melon,7,Attention,NewJeans
7,melon,8,After LIKE,IVE (아이브)
8,melon,9,Candy,NCT DREAM
9,melon,10,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지
10,melon,11,사랑은 늘 도망가,임영웅
11,melon,12,Nxde,(여자)아이들
12,melon,13,LOVE DIVE,IVE (아이브)
13,melon,14,우리들의 블루스,임영웅
14,melon,15,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
15,melon,16,다시 만날 수 있을까,임영웅
16,melon,17,Monologue,테이
17,melon,18,London Boy,임영웅
18,melon,19,마이웨이 (MY WAY) (Prod. R.Tee),저스디스 (JUSTHIS)
19,melon,20,Cookie,NewJeans
20,melon,21,이제 나만 믿어요,임영웅
21,melon,22,무지개,임영웅
22,melon,23,너의 모든 순간,성시경
23,melon,24,Polaroid,임영웅
24,melon,25,그대를 알고,송하예
25,melon,26,Rush Hour (Feat. j-hope of BTS),Crush
26,melon,27,아버지,임영웅
27,melon,28,해요 (2022),#안녕
28,melon,29,사랑인가 봐,멜로망스
29,melon,30,Shut Down,BLACKPINK
30,melon,31,Say I Love You,우디 (Woody)
31,melon,32,A bientot,임영웅
32,melon,33,그댄 행복에 살텐데 (2022),최유리
33,melon,34,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국
34,melon,35,Pink Venom,BLACKPINK
35,melon,36,TOMBOY,(여자)아이들
36,melon,37,인생찬가,임영웅
37,melon,38,손이 참 곱던 그대,임영웅
38,melon,39,사랑해 진짜,임영웅
39,melon,40,잘가요,주호
40,melon,41,FEARLESS,LE SSERAFIM (르세라핌)
41,melon,42,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
42,melon,43,연애편지,임영웅
43,melon,44,I Don't Think That I Like Her,Charlie Puth
44,melon,45,내가 아니라도,주호
45,melon,46,취중고백,김민석 (멜로망스)
46,melon,47,마지막 사랑,신예영
47,melon,48,사랑해도 될까요,양다일
48,melon,49,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
49,melon,50,자격지심 (Feat. ZICO),BE'O (비오)
50,melon,51,ELEVEN,IVE (아이브)
51,melon,52,그라데이션,10CM
52,melon,53,딱 10CM만,10CM
53,melon,54,That's Hilarious,Charlie Puth
54,melon,55,보금자리,임영웅
55,melon,56,다정히 내 이름을 부르면,경서예지
56,melon,57,Dynamite,방탄소년단
57,melon,58,나의 X에게,경서
58,melon,59,WHEN I MOVE,카라
59,melon,60,That That (prod. & feat. SUGA of BTS),싸이 (PSY)
60,melon,61,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
61,melon,62,니 번호가 뜨는 일,이예준
62,melon,63,오르트구름,윤하 (YOUNHA)
63,melon,64,보고싶었어,WSG워너비(4FIRE)
64,melon,65,떠나보낼 준비해 둘걸 그랬어,임한별
65,melon,66,첫사랑,백아
66,melon,67,LOVE me,BE'O (비오)
67,melon,68,우린 그렇게 사랑해서,강민경 (다비치)
68,melon,69,봄날,방탄소년단
69,melon,70,밤하늘의 별을(2020),경서
70,melon,71,Butter,방탄소년단
71,melon,72,그 겨울이 잠든 거리에서,경서예지
72,melon,73,STAY,The Kid LAROI
73,melon,74,Beautiful Liar,몬스타엑스
74,melon,75,주저하는 연인들을 위해,잔나비
75,melon,76,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
76,melon,77,내 기쁨은 너가 벤틀리를 끄는 거야,김승민
77,melon,78,새벽에 걸려온 너의 전화는,한동근
78,melon,79,눈이 오잖아(Feat.헤이즈),이무진
79,melon,80,"미운오리새끼 (Feat. 선우정아, BOBBY) (Prod. R.Tee)",허성현 (Huh)
80,melon,81,위하여 (We Higher) (Prod. GroovyRoom),그루비룸 (GroovyRoom)
81,melon,82,Snowman,Sia
82,melon,83,Permission to Dance,방탄소년단
83,melon,84,Yet To Come,방탄소년단
84,melon,85,가슴으로 운다,김연지
85,melon,86,Love story,볼빨간사춘기
86,melon,87,Love War (Feat. BE‘O),YENA (최예나)
87,melon,88,아픈 나를 (Prod. By 나얼),성시경
88,melon,89,FOREVER 1,소녀시대 (GIRLS' GENERATION)
89,melon,90,"눈 (EYE) (Feat. BIG Naughty, 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (DON MALIK)
90,melon,91,그중에 그대를 만나,김호중
91,melon,92,도깨비불 (Illusion),aespa
92,melon,93,손을 마주 잡고,BIG Naughty (서동현)
93,melon,94,Off My Face,Justin Bieber
94,melon,95,나의 목소리로,김호중
95,melon,96,흩어지지 않게,엠씨더맥스 (M.C the MAX)
96,melon,97,Unholy,Sam Smith
97,melon,98,Daydream,몬스타엑스
98,melon,99,"빡 (Feat. 팔로알토 (Paloalto), 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (DON MALIK)
99,melon,100,신호등,이무진
