,Rank,Category,title,subscriber,view,video
0,1,[음악/댄스/가수],BLACKPINK,454만,8억3911만,803개
1,2,[음악/댄스/가수],BANGTANTV,454만,8억3911만,803개
2,3,[음악/댄스/가수],HYBE LABELS,454만,8억3911만,803개
3,4,[음악/댄스/가수],SMTOWN,454만,8억3911만,803개
4,5,[키즈/어린이],Boram Tube Vlog [보람튜브 브이로그],454만,8억3911만,803개
5,6,[음악/댄스/가수],JYP Entertainment,454만,8억3911만,803개
6,7,[음악/댄스/가수],1MILLION Dance Studio,454만,8억3911만,803개
7,8,[음악/댄스/가수],1theK (원더케이),454만,8억3911만,803개
8,9,[음악/댄스/가수],Mnet K-POP,454만,8억3911만,803개
9,10,[TV/방송],KBS WORLD TV,454만,8억3911만,803개
10,11,[음악/댄스/가수],officialpsy,454만,8억3911만,803개
11,12,[음악/댄스/가수],JFlaMusic,454만,8억3911만,803개
12,13,[음식/요리/레시피],Jane ASMR 제인,454만,8억3911만,803개
13,14,[음악/댄스/가수],TWICE,454만,8억3911만,803개
14,15,[음악/댄스/가수],BIGBANG,454만,8억3911만,803개
15,16,[음식/요리/레시피],Hongyu ASMR 홍유,454만,8억3911만,803개
16,17,[키즈/어린이],Boram Tube ToysReview [보람튜브 토이리뷰],454만,8억3911만,803개
17,18,[키즈/어린이],BIBO와 장난감,454만,8억3911만,803개
18,19,[음악/댄스/가수],Stray Kids,454만,8억3911만,803개
19,20,[키즈/어린이],핑크퐁 (인기 동요・동화),454만,8억3911만,803개
20,21,[음식/요리/레시피],[햄지]Hamzy,454만,8억3911만,803개
21,22,[키즈/어린이],서은일상이야기,454만,8억3911만,803개
22,23,[키즈/어린이],Toymong tv 토이몽TV,454만,8억3911만,803개
23,24,[키즈/어린이],DuDuPopTOY,454만,8억3911만,803개
24,25,[음악/댄스/가수],Stone Music Entertainment,454만,8억3911만,803개
25,26,[TV/방송],MBCkpop,454만,8억3911만,803개
26,27,[음악/댄스/가수],TOMORROW X TOGETHER OFFICIAL,454만,8억3911만,803개
27,28,[키즈/어린이],Larva TUBA,454만,8억3911만,803개
28,29,[키즈/어린이],서은이야기[SeoeunStory],454만,8억3911만,803개
29,30,[음식/요리/레시피],쏘영 Ssoyoung,454만,8억3911만,803개
30,31,[음악/댄스/가수],EXO,454만,8억3911만,803개
31,32,[음악/댄스/가수],Mnet TV,454만,8억3911만,803개
32,33,[키즈/어린이],Boram Tube [宝蓝和朋友们],454만,8억3911만,803개
33,34,[뉴스/정치/사회],MBCentertainment,454만,8억3911만,803개
34,35,[음악/댄스/가수],SEVENTEEN,454만,8억3911만,803개
35,36,[TV/방송],M2,454만,8억3911만,803개
36,37,[음악/댄스/가수],iKON,454만,8억3911만,803개
37,38,[음식/요리/레시피],문복희 Eat with Boki,454만,8억3911만,803개
38,39,[해외],Serie A,454만,8억3911만,803개
39,40,[음악/댄스/가수],이지금 [IU Official],454만,8억3911만,803개
40,41,[음악/댄스/가수],ITZY,454만,8억3911만,803개
41,42,[키즈/어린이],MariAndKids,454만,8억3911만,803개
42,43,[음식/요리/레시피],tzuyang쯔양,454만,8억3911만,803개
43,44,[뉴스/정치/사회],JTBC Entertainment,454만,8억3911만,803개
44,45,[TV/방송],KBS Kpop,454만,8억3911만,803개
45,46,[키즈/어린이],SonicToy소닉토이,454만,8억3911만,803개
46,47,[음식/요리/레시피],야미보이 Yummyboy,454만,8억3911만,803개
47,48,[음악/댄스/가수],YG ENTERTAINMENT,454만,8억3911만,803개
48,49,[음악/댄스/가수],ENHYPEN,454만,8억3911만,803개
49,50,[TV/방송],스브스케이팝 X INKIGAYO,454만,8억3911만,803개
50,51,[음악/댄스/가수],Sungha Jung,454만,8억3911만,803개
51,52,[미분류],GH'S,454만,8억3911만,803개
52,53,[음악/댄스/가수],MAMAMOO,454만,8억3911만,803개
53,54,[키즈/어린이],미니특공대TV,454만,8억3911만,803개
54,55,[음악/댄스/가수],ALL THE K-POP,454만,8억3911만,803개
55,56,[회사/오피셜],YouTube Originals,454만,8억3911만,803개
56,57,[TV/방송],SBS Entertainment,454만,8억3911만,803개
57,58,[음악/댄스/가수],TREASURE (트레저),454만,8억3911만,803개
58,59,[키즈/어린이],[장난감티비]TOYTV,454만,8억3911만,803개
59,60,[TV/방송],tvN drama,454만,8억3911만,803개
60,61,[TV/방송],SBS Drama,454만,8억3911만,803개
61,62,[음악/댄스/가수],GOT7,454만,8억3911만,803개
62,63,[회사/오피셜],Samsung,454만,8억3911만,803개
63,64,[패션/미용],PONY Syndrome,454만,8억3911만,803개
64,65,[키즈/어린이],With Kids Playground [위드키즈 놀이터],454만,8억3911만,803개
65,66,[음식/요리/레시피],5 분 Tricks,454만,8억3911만,803개
66,67,[키즈/어린이],PinkyPopTOY,454만,8억3911만,803개
67,68,[음악/댄스/가수],starshipTV,454만,8억3911만,803개
68,69,[음식/요리/레시피],백종원 PAIK JONG WON,454만,8억3911만,803개
69,70,[음악/댄스/가수],NCT,454만,8억3911만,803개
70,71,[음악/댄스/가수],NCT DREAM,454만,8억3911만,803개
71,72,[키즈/어린이],스위트티비 SweetTV,454만,8억3911만,803개
72,73,[음악/댄스/가수],2NE1,454만,8억3911만,803개
